region, subregion
FL,ALFL_MOB_TLH
CA,CA_EKA
CA,CA_LOX
CA,CA_MTR
CA,CA_SGX
CA,CA_ChannelIslands
FL,ALFL_MOB_TLH
FL,FL_JAX
FL,FL_MFL
FL,FL_MLB
FL,FL_TBW
GA,GA
MS,MS
OR,OR_MFR
OR,OR_PQR
TX,TX_North1
TX,TX_North2
TX,TX_Central
TX,TX_South1
TX,TX_South2
WA,WA_PQR
WA,WA_SEW
WA,WA_PugetNW
WA,WA_PugetSW
DE,DE
PA,PA
VA,VA_EasternShore
VA,VA_Northern
VA,VA_Middle
VA,VA_Southern
MD,MD_Southeast
MD,MD_East
MD,MD_North
MD,MD_West
MD,MD_Southwest
Pacific,Guam
Pacific,CNMI
PR_USVI,USVI
PR_USVI,PR
NY,NY_Hudson
NY,NY_Metro
NY,NY_Suffolk
Pacific,HI_Hawaii
Pacific,HI_Kauai
Pacific,HI_Lanai
Pacific,HI_Maui
Pacific,HI_Molokai
Pacific,HI_Oahu
NewEngland,MA
NewEngland,RI
NewEngland,NH
NewEngland,ME_East
NewEngland,ME_West
NC,NC_Northern
NC,NC_Middle1
NC,NC_Middle2
NC,NC_Southern1
NC,NC_Southern2
NewEngland,CT
SC,SC_North
SC,SC_Central
SC,SC_South
Pacific,AmericanSamoa
LA,LA_LP
LA,LA_Delta
LA,LA_Central
LA,LA_CentralEast
LA,LA_CentralNorth
LA,LA_West
NJ,NJ_Northern
NJ,NJ_Middle
NJ,NJ_Southern
DC,DC
